timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1495736096501,202,457 /,200,,Thread Group 1-1,text,true,,2417,492,1,1,202,0,96
1495736096703,107,477 /templates/calendario/calendario.html,200,,Thread Group 1-1,text,true,,1469,500,1,1,107,0,0
1495736096810,85,501 /templates/header/header.html,200,,Thread Group 1-1,text,true,,724,492,1,1,85,0,0
1495736096895,89,502 /templates/layouts/main-layout.html,200,,Thread Group 1-1,text,true,,958,498,1,1,89,0,0
1495736096984,85,505 /templates/footer/footer.html,200,,Thread Group 1-1,text,true,,782,492,1,1,85,0,0
1495736097070,88,506 /templates/home/home-template.html,200,,Thread Group 1-1,text,true,,8130,497,1,1,88,0,0
1495736097159,95,507 /templates/login/login.html,200,,Thread Group 1-1,text,true,,1857,490,1,1,95,0,0
1495736097255,95,508 /templates/password/password-recovery.html,200,,Thread Group 1-1,text,true,,2293,505,1,1,95,0,0
1495736097350,97,512 /templates/password/password-change.html,200,,Thread Group 1-1,text,true,,2158,503,1,1,97,0,0
1495736097447,99,516 /templates/reservas/biblioteca/biblioteca.html,200,,Thread Group 1-1,text,true,,8448,509,1,1,99,0,0
1495736097546,96,517 /templates/reservas/canchas/tenis.html,200,,Thread Group 1-1,text,true,,4351,501,1,1,96,0,0
1495736097642,96,518 /templates/reservas/biblioteca/computadores.html,200,,Thread Group 1-1,text,true,,4062,511,1,1,96,0,0
1495736097738,95,520 /templates/administrador/usuarios/usuarios.html,200,,Thread Group 1-1,text,true,,8174,510,1,1,95,0,0
1495736097833,95,521 /templates/administrador/usuarios/consultar-usuario.html,200,,Thread Group 1-1,text,true,,3108,519,1,1,95,0,0
1495736097928,95,523 /templates/administrador/usuarios/crear-usuario.html,200,,Thread Group 1-1,text,true,,3701,515,1,1,95,0,0
1495736098023,100,526 /templates/administrador/usuarios/actualizar-usuario.html,200,,Thread Group 1-1,text,true,,4246,520,1,1,100,0,0
1495736098123,96,529 /templates/administrador/usuarios/editar-usuario.html,200,,Thread Group 1-1,text,true,,4932,516,1,1,96,0,0
1495736098219,101,531 /templates/administrador/usuarios/eliminar-usuario.html,200,,Thread Group 1-1,text,true,,2656,518,1,1,101,0,0
1495736098320,105,532 /templates/reservas/biblioteca/EspaciosDisponibles.html,200,,Thread Group 1-1,text,true,,2665,518,1,1,105,0,0
1495736098425,98,535 /templates/espacios/gimnasio.html,200,,Thread Group 1-1,text,true,,2563,496,2,2,98,0,0
1495736098523,187,534 /templates/espacios/canchas.html,200,,Thread Group 1-1,text,true,,9692,495,2,2,187,0,94
1495736098502,210,457 /,200,,Thread Group 1-2,text,true,,2417,492,2,2,210,0,96
1495736098710,101,537 /templates/reservas/canchas/canchaMultiple.html,200,,Thread Group 1-1,text,true,,3613,510,2,2,101,0,0
1495736098713,114,477 /templates/calendario/calendario.html,200,,Thread Group 1-2,text,true,,1469,500,2,2,114,0,0
1495736098811,97,540 /templates/reservas/canchas/canchaFutbolTenis.html,200,,Thread Group 1-1,text,true,,3620,513,2,2,97,0,0
1495736098827,95,501 /templates/header/header.html,200,,Thread Group 1-2,text,true,,724,492,2,2,95,0,0
1495736098909,95,543 /templates/reservas/biblioteca/cubiculoEstudio.html,200,,Thread Group 1-1,text,true,,3637,514,2,2,95,0,0
1495736098922,94,502 /templates/layouts/main-layout.html,200,,Thread Group 1-2,text,true,,958,498,2,2,94,0,0
1495736099004,99,545 /templates/reservas/biblioteca/cubiculoVideo.html,200,,Thread Group 1-1,text,true,,3615,512,2,2,99,0,0
1495736099016,97,505 /templates/footer/footer.html,200,,Thread Group 1-2,text,true,,782,492,2,2,97,0,0
1495736099103,108,547 /templates/reservas/confirmarReserva.html,200,,Thread Group 1-1,text,true,,3136,504,2,2,108,0,0
1495736099113,98,506 /templates/home/home-template.html,200,,Thread Group 1-2,text,true,,8130,497,2,2,98,0,0
1495736099211,97,507 /templates/login/login.html,200,,Thread Group 1-2,text,true,,1857,490,2,2,97,0,0
1495736099211,98,549 /templates/administrador/bloques/generar-bloques.html,200,,Thread Group 1-1,text,true,,3182,516,2,2,98,0,0
1495736099309,96,508 /templates/password/password-recovery.html,200,,Thread Group 1-2,text,true,,2293,505,2,2,96,0,0
1495736099309,98,551 /templates/administrador/bloques/eliminar-bloques.html,200,,Thread Group 1-1,text,true,,2886,517,2,2,98,0,0
1495736099406,98,512 /templates/password/password-change.html,200,,Thread Group 1-2,text,true,,2158,503,2,2,98,0,0
1495736099407,98,553 /templates/administrador/graficas/pruebaGrafica.html,200,,Thread Group 1-1,text,true,,2819,515,2,2,98,0,0
1495736099505,100,555 /templates/administrador/graficas/pruebaHistorico.html,200,,Thread Group 1-1,text,true,,2717,517,2,2,100,0,0
1495736099505,100,516 /templates/reservas/biblioteca/biblioteca.html,200,,Thread Group 1-2,text,true,,8448,509,2,2,100,0,0
1495736099605,100,557 /templates/reservas/laboratorios/laboratorios.html,200,,Thread Group 1-1,text,true,,7862,513,2,2,100,0,0
1495736099605,100,517 /templates/reservas/canchas/tenis.html,200,,Thread Group 1-2,text,true,,4351,501,2,2,100,0,0
1495736099705,95,562 /templates/reservas/consultar-reservas.html,200,,Thread Group 1-1,text,true,,1378,506,2,2,95,0,0
1495736096501,3295,457 /,200,"Number of samples in transaction : 32, number of failing samples : 0",Thread Group 1-1,,true,,117851,16234,2,2,3295,4,190
1495736099705,96,518 /templates/reservas/biblioteca/computadores.html,200,,Thread Group 1-2,text,true,,4062,511,2,2,96,0,0
1495736099800,98,565 /user,401,,Thread Group 1-1,text,false,,528,502,2,2,98,0,0
1495736099800,98,565 /user,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,528,502,2,2,98,0,0
1495736099801,98,520 /templates/administrador/usuarios/usuarios.html,200,,Thread Group 1-2,text,true,,8174,510,2,2,98,0,0
1495736099899,110,521 /templates/administrador/usuarios/consultar-usuario.html,200,,Thread Group 1-2,text,true,,3108,519,2,2,110,0,0
1495736099898,113,1 /,200,,Thread Group 1-1,text,true,,2417,496,2,2,113,0,0
1495736100012,92,26 /templates/calendario/calendario.html,200,,Thread Group 1-1,text,true,,1469,464,2,2,92,0,0
1495736100009,95,523 /templates/administrador/usuarios/crear-usuario.html,200,,Thread Group 1-2,text,true,,3701,515,2,2,95,0,0
1495736100104,95,526 /templates/administrador/usuarios/actualizar-usuario.html,200,,Thread Group 1-2,text,true,,4246,520,2,2,95,0,0
1495736100104,95,48 /templates/layouts/main-layout.html,200,,Thread Group 1-1,text,true,,958,462,2,2,95,0,0
1495736100199,95,529 /templates/administrador/usuarios/editar-usuario.html,200,,Thread Group 1-2,text,true,,4932,516,2,2,95,0,0
1495736100199,95,47 /templates/home/home-template.html,200,,Thread Group 1-1,text,true,,8130,461,2,2,95,0,0
1495736100295,93,46 /templates/footer/footer.html,200,,Thread Group 1-1,text,true,,782,456,2,2,93,0,0
1495736100295,94,531 /templates/administrador/usuarios/eliminar-usuario.html,200,,Thread Group 1-2,text,true,,2656,518,2,2,94,0,0
1495736100389,90,50 /templates/header/header.html,200,,Thread Group 1-1,text,true,,724,456,2,2,90,0,0
1495736100390,103,532 /templates/reservas/biblioteca/EspaciosDisponibles.html,200,,Thread Group 1-2,text,true,,2665,518,2,2,103,0,0
1495736100479,86,51 /templates/login/login.html,200,,Thread Group 1-1,text,true,,1857,454,3,3,86,0,0
1495736100493,91,535 /templates/espacios/gimnasio.html,200,,Thread Group 1-2,text,true,,2563,496,3,3,91,0,0
1495736100504,208,457 /,200,,Thread Group 1-3,text,true,,2417,492,3,3,208,0,105
1495736100565,184,55 /templates/password/password-recovery.html,200,,Thread Group 1-1,text,true,,2293,469,3,3,184,0,96
1495736100584,191,534 /templates/espacios/canchas.html,200,,Thread Group 1-2,text,true,,9692,495,3,3,191,0,88
1495736100713,106,477 /templates/calendario/calendario.html,200,,Thread Group 1-3,text,true,,1469,500,3,3,106,0,0
